Segment,Category,Sub-Category,City,Order Date,Postal Code,Region,Ship Status,State,Profit,Sales,,
Home Office,Office Furniture,Storage Cabinets,Holyoke,6-Jul-19,1040,Eastern,Early Delivery,Massachusetts,36,262,,
Corporate,Office Supplies,Folders,Leominster,26-Nov-19,1453,Eastern,Early Delivery,Massachusetts,17,732,,
Corporate,Office Supplies,Folders,Leominster,26-Nov-19,1453,Eastern,Early Delivery,Massachusetts,12,15,,
Consumer,Office Supplies,Label Maker Tape,Leominster,25-Feb-19,1453,Eastern,Early Delivery,Massachusetts,3,958,,
Consumer,Office Supplies,Printing Paper,Leominster,25-Feb-19,1453,Eastern,Early Delivery,Massachusetts,55,22,,
Corporate,Office Supplies,Printing Paper,Leominster,26-Nov-19,1453,Eastern,Early Delivery,Massachusetts,16,49,,
Corporate,Office Supplies,Storage and Archive,Leominster,26-Nov-19,1453,Eastern,Early Delivery,Massachusetts,6,7,,
Consumer,Office Furniture,Corner Desks,Marlborough,16-Sep-20,1752,Eastern,Early Delivery,Massachusetts,2,907,,
Consumer,Office Furniture,Corner Desks,Marlborough,16-Sep-20,1752,Eastern,Early Delivery,Massachusetts,15,19,,
Consumer,Office Furniture,Computer Chairs,Andover,8-Mar-20,1810,Eastern,Late Delivery,Massachusetts,15,115,,
Consumer,Office Supplies,Folders,Andover,8-Mar-20,1810,Eastern,Late Delivery,Massachusetts,3,1706,,
Consumer,Office Supplies,Printing Paper,Andover,8-Mar-20,1810,Eastern,Late Delivery,Massachusetts,13,911,,
Consumer,Office Supplies,Storage and Archive,Andover,8-Mar-20,1810,Eastern,Late Delivery,Massachusetts,13,16,,
Consumer,Office Supplies,Artwork and Statues,Lawrence,8-Aug-19,1841,Eastern,Early Delivery,Massachusetts,1,408,,
Consumer,Office Supplies,Artwork and Statues,Lawrence,7-May-18,1841,Eastern,Early Delivery,Massachusetts,5,69,,
Corporate,Office Supplies,Artwork and Statues,Lawrence,10-Sep-21,1841,Eastern,Late Delivery,Massachusetts,105,3,,
Corporate,Office Supplies,Artwork and Statues,Lawrence,17-Jan-19,1841,Eastern,Early Delivery,Massachusetts,0,666,,
Consumer,Office Furniture,Computer Chairs,Lawrence,7-May-18,1841,Eastern,Early Delivery,Massachusetts,4,56,,
Corporate,Office Furniture,Corner Desks,Lawrence,19-Oct-21,1841,Eastern,Early Delivery,Massachusetts,2,9,,
Corporate,Office Furniture,Corner Desks,Lawrence,30-Apr-19,1841,Eastern,Early Delivery,Massachusetts,40,213,,
Corporate,Office Furniture,Corner Desks,Lawrence,30-Apr-19,1841,Eastern,Early Delivery,Massachusetts,6,23,,
Corporate,Office Furniture,Corner Desks,Lawrence,30-Apr-19,1841,Eastern,Early Delivery,Massachusetts,34,19,,
Consumer,Office Supplies,Envelopes,Lawrence,26-Dec-19,1841,Eastern,Late Delivery,Massachusetts,19,60,,
Home Office,Office Supplies,Envelopes,Lawrence,14-Dec-21,1841,Eastern,Early Delivery,Massachusetts,4,71,,
Consumer,Office Supplies,Folders,Lawrence,20-Sep-19,1841,Eastern,Late Delivery,Massachusetts,8,1045,,
Consumer,Office Supplies,Folders,Lawrence,8-Aug-19,1841,Eastern,Early Delivery,Massachusetts,7,12,,
Consumer,Office Supplies,Folders,Lawrence,7-May-18,1841,Eastern,Early Delivery,Massachusetts,9,91,,
Corporate,Office Supplies,Folders,Lawrence,19-Aug-21,1841,Eastern,Early Delivery,Massachusetts,6,3083,,
Home Office,Office Supplies,Folders,Lawrence,21-May-18,1841,Eastern,Early Delivery,Massachusetts,14,10,,
Consumer,Office Supplies,Kitchen Appliances,Lawrence,8-Aug-19,1841,Eastern,Early Delivery,Massachusetts,12,124,,
Home Office,Office Supplies,Kitchen Appliances,Lawrence,21-May-18,1841,Eastern,Early Delivery,Massachusetts,5,3,,
Consumer,Office Supplies,Label Maker Tape,Lawrence,8-Dec-20,1841,Eastern,Early Delivery,Massachusetts,3,86,,
Consumer,Office Supplies,Label Maker Tape,Lawrence,8-Dec-20,1841,Eastern,Early Delivery,Massachusetts,6,7,,
Corporate,Technology,Phone and Fax,Lawrence,24-Sep-21,1841,Eastern,On Schedule,Massachusetts,15,16,,
Corporate,Technology,Phone and Fax,Lawrence,24-Sep-21,1841,Eastern,On Schedule,Massachusetts,2,29,,
